1.00,1.00,2.54,401408.00,0.12,0.12,7.74,3211264.00,0.12,0.12,7.74,3211264.00,0.50,0.50,3.28,802816.00,0.50,0.50,3.28,802816.00,0.12,0.12,7.74,3211264.00,0.50,0.50,3.28,802816.00,0.12,0.12,7.74,3211264.00,0.12,0.12,7.74,3211264.00
1.00,1.00,2.60,451584.00,0.12,0.12,5.92,3612672.00,0.25,0.25,4.02,1806336.00,0.50,0.50,3.07,903168.00,1.00,1.00,2.60,451584.00,0.25,0.25,4.02,1806336.00,1.00,1.00,2.60,451584.00,0.12,0.12,5.92,3612672.00,0.25,0.25,4.02,1806336.00
0.50,0.50,2.78,401408.00,0.02,0.02,25.62,12845056.00,0.02,0.02,25.62,12845056.00,0.06,0.06,7.94,3211264.00,0.06,0.06,7.94,3211264.00,0.02,0.02,25.62,12845056.00,0.06,0.06,7.94,3211264.00,0.02,0.02,25.62,12845056.00,0.02,0.02,25.62,12845056.00
1.00,1.00,2.65,200704.00,0.06,0.06,16.93,3211264.00,0.06,0.06,16.93,3211264.00,0.25,0.25,5.50,802816.00,0.25,0.25,5.50,802816.00,0.06,0.06,16.93,3211264.00,0.25,0.25,5.50,802816.00,0.06,0.06,16.93,3211264.00,0.06,0.06,16.93,3211264.00
0.03,0.03,17.37,6021120.00,0.02,0.02,34.37,12845056.00,0.00,0.00,242.37,96337920.00,0.03,0.03,18.37,6422528.00,0.01,0.01,62.37,24084480.00,0.01,0.01,66.37,25690112.00,0.03,0.03,18.37,6422528.00,0.02,0.02,34.37,12845056.00,0.00,0.00,242.37,96337920.00
1.00,1.00,2.42,451584.00,0.12,0.12,4.57,3612672.00,0.25,0.25,3.35,1806336.00,0.50,0.50,2.73,903168.00,1.00,1.00,2.42,451584.00,0.25,0.25,3.35,1806336.00,1.00,1.00,2.42,451584.00,0.12,0.12,4.57,3612672.00,0.25,0.25,3.35,1806336.00
0.50,0.50,2.78,401408.00,0.02,0.02,25.62,12845056.00,0.02,0.02,25.62,12845056.00,0.06,0.06,7.94,3211264.00,0.06,0.06,7.94,3211264.00,0.02,0.02,25.62,12845056.00,0.06,0.06,7.94,3211264.00,0.02,0.02,25.62,12845056.00,0.02,0.02,25.62,12845056.00
0.03,0.03,17.37,6021120.00,0.02,0.02,34.37,12845056.00,0.00,0.00,242.37,96337920.00,0.03,0.03,18.37,6422528.00,0.01,0.01,62.37,24084480.00,0.01,0.01,66.37,25690112.00,0.03,0.03,18.37,6422528.00,0.02,0.02,34.37,12845056.00,0.00,0.00,242.37,96337920.00
1.00,1.00,2.42,451584.00,0.12,0.12,4.57,3612672.00,0.25,0.25,3.35,1806336.00,0.50,0.50,2.73,903168.00,1.00,1.00,2.42,451584.00,0.25,0.25,3.35,1806336.00,1.00,1.00,2.42,451584.00,0.12,0.12,4.57,3612672.00,0.25,0.25,3.35,1806336.00
0.50,0.50,2.78,401408.00,0.02,0.02,25.62,12845056.00,0.02,0.02,25.62,12845056.00,0.06,0.06,7.94,3211264.00,0.06,0.06,7.94,3211264.00,0.02,0.02,25.62,12845056.00,0.06,0.06,7.94,3211264.00,0.02,0.02,25.62,12845056.00,0.02,0.02,25.62,12845056.00
