operation_name,category,operation,M,K,N,Sharding_Strategy,num_devices,Latency_us,Latency_ms
matmul_FHE_Bootstrapping_BConv_M65536_K60_N152_shard_MN,FHE,Bootstrapping BConv,65536,60,152,shard_MN,8,79.2075,0.0792075
matmul_FHE_Bootstrapping_BConv_M65536_K60_N148_shard_M,FHE,Bootstrapping BConv,65536,60,148,shard_M,8,34.598906,0.034598906
matmul_FHE_Bootstrapping_BConv_M65536_K60_N148_shard_MN,FHE,Bootstrapping BConv,65536,60,148,shard_MN,8,126.48125,0.12648125
matmul_FHE_Bootstrapping_BConv_M65536_K28_N84_shard_M,FHE,Bootstrapping BConv,65536,28,84,shard_M,8,77.929922,0.077929922
matmul_FHE_Bootstrapping_BConv_M65536_K28_N84_shard_MN,FHE,Bootstrapping BConv,65536,28,84,shard_MN,8,46.708672,0.046708672
matmul_FHE_Bootstrapping_BConv_M65536_K28_N80_shard_M,FHE,Bootstrapping BConv,65536,28,80,shard_M,8,69.722422,0.06972242199999999
matmul_FHE_Bootstrapping_BConv_M65536_K28_N80_shard_N,FHE,Bootstrapping BConv,65536,28,80,shard_N,8,167.1275,0.16712749999999998
matmul_FHE_Bootstrapping_BConv_M65536_K28_N80_shard_MN,FHE,Bootstrapping BConv,65536,28,80,shard_MN,8,89.91125,0.08991125
matmul_FHE_Bootstrapping_BConv_M65536_K32_N92_shard_M,FHE,Bootstrapping BConv,65536,32,92,shard_M,8,64.773594,0.064773594
matmul_FHE_Bootstrapping_BConv_M65536_K32_N92_shard_MN,FHE,Bootstrapping BConv,65536,32,92,shard_MN,8,60.938672,0.060938672
matmul_FHE_Bootstrapping_BConv_M65536_K28_N88_shard_M,FHE,Bootstrapping BConv,65536,28,88,shard_M,8,108.489844,0.108489844
matmul_FHE_Bootstrapping_BConv_M65536_K28_N88_shard_N,FHE,Bootstrapping BConv,65536,28,88,shard_N,8,89.308672,0.089308672
matmul_FHE_Bootstrapping_BConv_M65536_K28_N88_shard_MN,FHE,Bootstrapping BConv,65536,28,88,shard_MN,8,61.62375,0.06162375
matmul_FHE_Bootstrapping_BConv_M65536_K32_N100_shard_M,FHE,Bootstrapping BConv,65536,32,100,shard_M,8,92.351094,0.09235109400000001
matmul_FHE_Bootstrapping_BConv_M65536_K32_N100_shard_MN,FHE,Bootstrapping BConv,65536,32,100,shard_MN,8,100.35625,0.10035625000000001
matmul_FHE_Bootstrapping_BConv_M65536_K32_N96_shard_M,FHE,Bootstrapping BConv,65536,32,96,shard_M,8,43.752344,0.043752344
matmul_FHE_Bootstrapping_BConv_M65536_K32_N96_shard_N,FHE,Bootstrapping BConv,65536,32,96,shard_N,8,88.333672,0.088333672
matmul_FHE_Bootstrapping_BConv_M65536_K32_N96_shard_MN,FHE,Bootstrapping BConv,65536,32,96,shard_MN,8,8.435078,0.008435078
matmul_FHE_Bootstrapping_BConv_M65536_K36_N76_shard_M,FHE,Bootstrapping BConv,65536,36,76,shard_M,8,47.087344,0.047087344
matmul_FHE_Bootstrapping_BConv_M65536_K36_N76_shard_MN,FHE,Bootstrapping BConv,65536,36,76,shard_MN,8,40.4875,0.040487499999999996
matmul_FHE_Bootstrapping_BConv_M65536_K36_N72_shard_M,FHE,Bootstrapping BConv,65536,36,72,shard_M,8,68.97,0.06897
matmul_FHE_Bootstrapping_BConv_M65536_K36_N72_shard_N,FHE,Bootstrapping BConv,65536,36,72,shard_N,8,25.954922,0.025954922
matmul_FHE_Bootstrapping_BConv_M65536_K36_N72_shard_MN,FHE,Bootstrapping BConv,65536,36,72,shard_MN,8,9.307656,0.009307656
matmul_FHE_Bootstrapping_BConv_M65536_K36_N104_shard_M,FHE,Bootstrapping BConv,65536,36,104,shard_M,8,15.496094,0.015496094
matmul_FHE_Bootstrapping_BConv_M65536_K36_N104_shard_N,FHE,Bootstrapping BConv,65536,36,104,shard_N,8,16.120078,0.016120078
