Category,Subcategory,M,K,N,FLOPs,Naive_Mean_ms,Naive_Min_ms,Naive_Max_ms,Naive_Std_ms,Naive_TFLOPS,Tiled_Mean_ms,Tiled_Min_ms,Tiled_Max_ms,Tiled_Std_ms,Tiled_TFLOPS,Optimized_Mean_ms,Optimized_Min_ms,Optimized_Max_ms,Optimized_Std_ms,Optimized_TFLOPS,Vectorized_Mean_ms,Vectorized_Min_ms,Vectorized_Max_ms,Vectorized_Std_ms,Vectorized_TFLOPS,Best_Kernel,Best_Mean_ms,Best_TFLOPS
FHE,Bootstrapping BConv,65536,28,80,293601280,0.0635,0.0635,0.0636,0.0001,4.6222,0.0533,0.0533,0.0533,0.0000,5.5118,0.0512,0.0512,0.0513,0.0000,5.7310,0.0552,0.0551,0.0553,0.0000,5.3209,Optimized,0.0512,5.7310
FHE,Bootstrapping BConv,65536,32,92,385875968,0.0697,0.0697,0.0697,0.0000,5.5388,0.0533,0.0533,0.0533,0.0000,7.2418,0.0613,0.0611,0.0614,0.0001,6.2969,0.0616,0.0615,0.0616,0.0000,6.2663,Tiled,0.0533,7.2418
FHE,Bootstrapping BConv,65536,28,88,322961408,0.0635,0.0634,0.0637,0.0001,5.0844,0.0533,0.0533,0.0533,0.0000,6.0621,0.0555,0.0554,0.0556,0.0001,5.8192,0.0594,0.0593,0.0596,0.0001,5.4376,Tiled,0.0533,6.0621
FHE,Bootstrapping BConv,65536,32,100,419430400,0.0922,0.0921,0.0923,0.0001,4.5507,0.0717,0.0716,0.0717,0.0000,5.8537,0.0676,0.0675,0.0678,0.0001,6.2030,0.0684,0.0682,0.0686,0.0001,6.1319,Optimized,0.0676,6.2030
FHE,Bootstrapping BConv,65536,32,96,402653184,0.0697,0.0697,0.0698,0.0001,5.7773,0.0533,0.0533,0.0533,0.0000,7.5589,0.0574,0.0573,0.0575,0.0000,7.0145,0.0598,0.0595,0.0600,0.0002,6.7366,Tiled,0.0533,7.5589
FHE,Bootstrapping BConv,65536,36,76,358612992,0.0777,0.0771,0.0780,0.0003,4.6174,0.0922,0.0922,0.0922,0.0000,3.8893,0.0514,0.0513,0.0516,0.0001,6.9709,0.0556,0.0554,0.0557,0.0001,6.4539,Optimized,0.0514,6.9709
FHE,Bootstrapping BConv,65536,36,72,339738624,0.0771,0.0764,0.0778,0.0005,4.4062,0.0922,0.0922,0.0922,0.0000,3.6845,0.0481,0.0478,0.0483,0.0002,7.0670,0.0523,0.0520,0.0525,0.0002,6.4911,Optimized,0.0481,7.0670
FHE,Bootstrapping BConv,65536,36,104,490733568,0.1009,0.1004,0.1019,0.0006,4.8642,0.1226,0.1223,0.1229,0.0002,4.0021,0.0724,0.0721,0.0726,0.0002,6.7780,0.0760,0.0759,0.0764,0.0002,6.4545,Optimized,0.0724,6.7780
FHE,Bootstrapping BConv,65536,36,80,377487360,0.0776,0.0769,0.0780,0.0004,4.8636,0.0922,0.0922,0.0922,0.0000,4.0947,0.0544,0.0543,0.0547,0.0001,6.9348,0.0590,0.0589,0.0593,0.0001,6.3931,Optimized,0.0544,6.9348
FHE,Bootstrapping BConv,65536,36,112,528482304,0.1013,0.1005,0.1023,0.0007,5.2189,0.1228,0.1225,0.1228,0.0001,4.3048,0.0761,0.0759,0.0765,0.0002,6.9424,0.0801,0.0799,0.0803,0.0001,6.6007,Optimized,0.0761,6.9424
FHE,Bootstrapping BConv,65536,36,108,509607936,0.1012,0.1004,0.1025,0.0008,5.0371,0.1229,0.1228,0.1229,0.0000,4.1474,0.0793,0.0791,0.0795,0.0001,6.4301,0.0826,0.0824,0.0828,0.0001,6.1700,Optimized,0.0793,6.4301
FHE,NTT,64,1024,1024,134217728,0.0551,0.0549,0.0553,0.0002,2.4368,0.0389,0.0389,0.0390,0.0000,3.4465,0.1451,0.1450,0.1452,0.0001,0.9248,0.1189,0.1188,0.1189,0.0000,1.1293,Tiled,0.0389,3.4465
FHE,NTT,64,2048,2048,536870912,0.1065,0.1065,0.1067,0.0001,5.0395,0.0778,0.0778,0.0778,0.0000,6.9014,0.2852,0.2850,0.2853,0.0001,1.8826,0.2335,0.2334,0.2335,0.0000,2.2994,Tiled,0.0778,6.9014
FHE,NTT,128,2048,2048,1073741824,0.2067,0.2066,0.2068,0.0001,5.1941,0.1515,0.1515,0.1516,0.0000,7.0853,0.3003,0.3000,0.3009,0.0004,3.5750,0.2565,0.2565,0.2566,0.0001,4.1857,Tiled,0.1515,7.0853
FHE,NTT,128,4096,4096,4294967296,0.8023,0.8011,0.8033,0.0009,5.3530,0.5930,0.5929,0.5932,0.0001,7.2426,0.5862,0.5858,0.5875,0.0007,7.3269,0.4997,0.4996,0.4998,0.0001,8.5949,Vectorized,0.4997,8.5949
FHE,NTT,256,4096,4096,8589934592,1.4117,1.3992,1.4172,0.0065,6.0846,1.0365,1.0349,1.0419,0.0027,8.2874,0.5887,0.5885,0.5889,0.0002,14.5903,0.5010,0.5008,0.5014,0.0002,17.1459,Vectorized,0.5010,17.1459
ChatGPT OSS,Q,256,2880,4096,6039797760,0.9948,0.9866,0.9998,0.0056,6.0712,0.7325,0.7296,0.7374,0.0034,8.2451,0.4182,0.4181,0.4184,0.0001,14.4407,0.3571,0.3570,0.3572,0.0001,16.9121,Vectorized,0.3571,16.9121
ChatGPT OSS,fused QKV,256,2880,5120,7549747200,1.1613,1.1495,1.1644,0.0059,6.5013,0.8501,0.8499,0.8503,0.0001,8.8811,0.4201,0.4190,0.4233,0.0016,17.9717,0.3576,0.3574,0.3577,0.0001,21.1150,Vectorized,0.3576,21.1150
ChatGPT OSS,attn out,256,4096,2880,6039797760,1.0212,1.0134,1.0250,0.0047,5.9145,0.7457,0.7436,0.7514,0.0030,8.0995,0.5870,0.5861,0.5877,0.0007,10.2889,0.5003,0.5003,0.5004,0.0000,12.0716,Vectorized,0.5003,12.0716
ChatGPT OSS,scores per group,256,64,2048,67108864,0.0164,0.0164,0.0164,0.0000,4.0979,0.0123,0.0123,0.0123,0.0000,5.4621,0.0225,0.0225,0.0225,0.0000,2.9795,0.0205,0.0205,0.0205,0.0000,3.2736,Tiled,0.0123,5.4621
